Accession,description,Group,concentration,Method,Alternative,P value,Log2FC
2549,O14791,Apolipoprotein L1 [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.000200063,0.228705074
2550,O14791,Apolipoprotein L1 [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,2.69E-05,3.092161679
2551,P02652,Apolipoprotein A-II [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.000126243,0.64331589
2552,P02652,Apolipoprotein A-II [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.001636155,0.132997007
2553,P02652,Apolipoprotein A-II [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,3.15E-05,-0.656737318
2554,P02652,Apolipoprotein A-II [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.07158865,0.138129536
2555,P02652,Apolipoprotein A-II [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.000233111,0.248453846
2556,P02652,Apolipoprotein A-II [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.01118826,0.111369845
2557,P02652,Apolipoprotein A-II [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.001910232,0.375946762
2558,P02652,Apolipoprotein A-II [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.000302898,-0.451539644
2559,P02652,Apolipoprotein A-II [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.017778594,-0.090402457
2560,P02652,Apolipoprotein A-II [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.000248732,-0.49119356
2561,P02652,Apolipoprotein A-II [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.023842746,-0.165832082
2562,P02652,Apolipoprotein A-II [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.000958087,-0.2701541
2563,P02652,Apolipoprotein A-II [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.000901715,-0.35256373
2564,P02652,Apolipoprotein A-II [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,3.14E-05,-0.469431829
2565,P02652,Apolipoprotein A-II [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.000358501,0.243646504
2566,P02652,Apolipoprotein A-II [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.000309173,-0.325006945
2567,P02652,Apolipoprotein A-II [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.00034082,0.294135243
2568,P02652,Apolipoprotein A-II [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,3.96E-05,0.448583719
2569,P02652,Apolipoprotein A-II [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.011408555,0.359753942
2570,P02652,Apolipoprotein A-II [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.000494043,2.203360511
2571,P02652,Apolipoprotein A-II [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,6.07E-05,-0.422503347
2572,P02652,Apolipoprotein A-II [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,3.88E-06,0.605918634
2573,P02652,Apolipoprotein A-II [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.000372088,0.19106251
2574,P02652,Apolipoprotein A-II [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.075745073,0.084130304
2575,P02652,Apolipoprotein A-II [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,5.35E-05,0.569480254
2576,P02652,Apolipoprotein A-II [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.002844269,1.022768413
2577,P02652,Apolipoprotein A-II [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.00055116,0.172593348
2578,P02652,Apolipoprotein A-II [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,7.09E-05,0.371934506
2579,P02652,Apolipoprotein A-II [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,0.001914578,-0.141384405
2580,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",PE,10,Welch Two Sample t-test,two.sided,8.81E-05,-0.705342924
2581,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",PE,100,Welch Two Sample t-test,two.sided,5.41E-07,-2.151458993
2582,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",PE,1000,Welch Two Sample t-test,two.sided,1.16E-05,-4.09810455
2583,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",B-complex,10,Welch Two Sample t-test,two.sided,0.000888788,0.26739042
2584,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",B-complex,100,Welch Two Sample t-test,two.sided,2.32E-06,-2.174172895
2585,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",B-complex,1000,Welch Two Sample t-test,two.sided,1.43E-05,-1.985644882
2586,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",PtdChos,10,Welch Two Sample t-test,two.sided,7.03E-05,-1.951107681
2587,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",PtdChos,1000,Welch Two Sample t-test,two.sided,1.20E-06,0.858842319
2588,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Diglycerol,10,Welch Two Sample t-test,two.sided,3.78E-09,2.152146716
2589,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Diglycerol,100,Welch Two Sample t-test,two.sided,0.001041548,0.339722729
2590,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Diglycerol,1000,Welch Two Sample t-test,two.sided,1.82E-05,-2.906571156
2591,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Glucose,10,Welch Two Sample t-test,two.sided,0.001108229,-0.158084073
2592,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Glucose,100,Welch Two Sample t-test,two.sided,0.001198749,-0.183051664
2593,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Glucose,1000,Welch Two Sample t-test,two.sided,1.09E-05,-0.561436229
2594,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",IMP,10,Welch Two Sample t-test,two.sided,1.85E-05,0.446951434
2595,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",IMP,100,Welch Two Sample t-test,two.sided,0.000102056,-0.614698634
2596,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",IMP,1000,Welch Two Sample t-test,two.sided,5.11E-06,-1.379183891
2597,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",PtdIns,10,Welch Two Sample t-test,two.sided,0.000510215,-0.635080044
2598,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",PtdIns,100,Welch Two Sample t-test,two.sided,1.34E-06,-1.853029597
2599,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",PtdIns,1000,Welch Two Sample t-test,two.sided,0.712197115,0.025641687
2600,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Sauce 1,10,Welch Two Sample t-test,two.sided,5.54E-07,-2.459700324
2601,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Sauce 1,100,Welch Two Sample t-test,two.sided,0.11444893,0.053784246
2602,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Sauce 1,1000,Welch Two Sample t-test,two.sided,1.01E-06,0.782013228
2603,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Sauce 2,10,Welch Two Sample t-test,two.sided,2.73E-05,-3.68990185
2604,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Sauce 2,100,Welch Two Sample t-test,two.sided,3.11E-05,-2.214335976
2605,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Sauce 2,1000,Welch Two Sample t-test,two.sided,0.000247372,1.432673086
2606,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Triglyceride,10,Welch Two Sample t-test,two.sided,8.41E-07,-1.464330816
2607,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Triglyceride,100,Welch Two Sample t-test,two.sided,4.10E-07,-1.732465097
2608,P35527,"Keratin, type I cytoskeletal 9 [OS=Homo sapiens]",Triglyceride,1000,Welch Two Sample t-test,two.sided,0.00014569,-1.161718995
2609,P02654,Apolipoprotein C-I [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,3.16E-09,0.680309574
2610,P02654,Apolipoprotein C-I [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.000160395,0.702412239
2611,P02654,Apolipoprotein C-I [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.000297219,1.447801133
2612,P02654,Apolipoprotein C-I [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.000712987,-0.0583142
2613,P02654,Apolipoprotein C-I [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.394210277,-0.02105397
2614,P02654,Apolipoprotein C-I [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.001176709,-0.306703914
2615,P02654,Apolipoprotein C-I [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.002038403,0.601190299
2616,P02654,Apolipoprotein C-I [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.00201322,-0.554863153
2617,P02654,Apolipoprotein C-I [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.000139384,0.157263117
2618,P02654,Apolipoprotein C-I [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,2.43E-06,-0.897443954
2619,P02654,Apolipoprotein C-I [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.000802007,-0.186347018
2620,P02654,Apolipoprotein C-I [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.000755144,-0.093487705
2621,P02654,Apolipoprotein C-I [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.000127332,-0.324122377
2622,P02654,Apolipoprotein C-I [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.000245368,-0.44881925
2623,P02654,Apolipoprotein C-I [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.007609005,0.100265265
2624,P02654,Apolipoprotein C-I [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,1.25E-07,-0.633720184
2625,P02654,Apolipoprotein C-I [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.076116066,-0.252155239
2626,P02654,Apolipoprotein C-I [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.186833376,0.033300416
2627,P02654,Apolipoprotein C-I [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,0.000398542,0.673289631
2628,P02654,Apolipoprotein C-I [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.024334664,0.799295008
2629,P02654,Apolipoprotein C-I [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,6.38E-06,-0.979543187
2630,P02654,Apolipoprotein C-I [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.001648105,0.200102192
2631,P02654,Apolipoprotein C-I [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,6.35E-06,-0.358198371
2632,P02654,Apolipoprotein C-I [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.011929202,-0.075204058
2633,P02654,Apolipoprotein C-I [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,0.001131679,1.273108814
2634,P02654,Apolipoprotein C-I [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,3.12E-06,-2.442331874
2635,P02654,Apolipoprotein C-I [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,3.85E-06,-0.274770227
2636,P02654,Apolipoprotein C-I [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.000208722,0.459314978
2637,P02654,Apolipoprotein C-I [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,4.62E-07,-1.21314508
2638,P02730,Band 3 anion transport protein [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,4.85E-07,-1.582228462
2639,P02730,Band 3 anion transport protein [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,3.67E-06,-0.998394817
2640,P02730,Band 3 anion transport protein [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,2.27E-05,-1.762267404
2641,P02730,Band 3 anion transport protein [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.000979932,-0.246108963
2642,P02730,Band 3 anion transport protein [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,6.09E-06,-1.187104524
2643,P02730,Band 3 anion transport protein [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,1.60E-06,-1.157657118
2644,P02730,Band 3 anion transport protein [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,6.02E-07,-1.424257779
2645,P02730,Band 3 anion transport protein [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,1.66E-06,0.723763659
2646,P02730,Band 3 anion transport protein [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.001588849,0.119494524
2647,P02730,Band 3 anion transport protein [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.090273356,-0.035515085
2648,P02730,Band 3 anion transport protein [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,1.17E-05,-0.690525349
2649,P02730,Band 3 anion transport protein [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.000611283,-0.186457012
2650,P02730,Band 3 anion transport protein [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,1.87E-05,-0.503328554
2651,P02730,Band 3 anion transport protein [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,2.57E-06,-0.831188022
2652,P02730,Band 3 anion transport protein [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,4.56E-05,-1.735117187
2653,P02730,Band 3 anion transport protein [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.467637325,-0.038000582
2654,P02730,Band 3 anion transport protein [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.012240451,-0.802530452
2655,P02730,Band 3 anion transport protein [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,7.77E-06,-1.640067468
2656,P02730,Band 3 anion transport protein [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,4.76E-07,-1.781136844
2657,P02730,Band 3 anion transport protein [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.000774689,-0.7485773
2658,P02730,Band 3 anion transport protein [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,1.40E-06,-1.453673379
2659,P02730,Band 3 anion transport protein [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,1.85E-05,-1.369140229
2660,P02730,Band 3 anion transport protein [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.006001676,0.174526809
2661,P02730,Band 3 anion transport protein [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,0.000236665,-1.81589717
2662,P02730,Band 3 anion transport protein [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,3.11E-05,-1.427730278
2663,P02730,Band 3 anion transport protein [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,0.001184663,0.307286821
2664,P02730,Band 3 anion transport protein [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.000333007,-0.21994112
2665,P02730,Band 3 anion transport protein [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,3.58E-05,-0.389024989
2666,P02730,Band 3 anion transport protein [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,4.86E-06,0.455192084
2667,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.014970347,-0.100853809
2668,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,4.03E-05,-0.65828299
2669,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,4.79E-05,-1.847140464
2670,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,1.07E-05,-0.703711232
2671,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.000102396,-0.628578247
2672,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,1.32E-05,-0.747520639
2673,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,5.96E-06,-0.897479918
2674,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.000105268,-2.608994881
2675,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,4.71E-05,0.980944589
2676,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,0.036100334,-0.063724558
2677,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.753109064,0.010932544
2678,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,3.47E-05,0.542064772
2679,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.001130208,0.275917879
2680,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.000327784,0.566457671
2681,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],IMP,10,Welch Two Sample t-test,two.sided,0.000326394,-0.252896837
2682,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],IMP,100,Welch Two Sample t-test,two.sided,0.106576978,-0.152427609
2683,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],IMP,1000,Welch Two Sample t-test,two.sided,0.086544374,-0.207899305
2684,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],PtdIns,10,Welch Two Sample t-test,two.sided,0.000110815,-3.216460442
2685,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],PtdIns,100,Welch Two Sample t-test,two.sided,4.75E-05,-0.707411117
2686,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],PtdIns,1000,Welch Two Sample t-test,two.sided,0.046189624,-0.315776769
2687,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Sauce 1,10,Welch Two Sample t-test,two.sided,0.00034124,-0.61214529
2688,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Sauce 1,100,Welch Two Sample t-test,two.sided,0.227236498,0.024209903
2689,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Sauce 1,1000,Welch Two Sample t-test,two.sided,0.030451315,0.488318159
2690,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Sauce 2,10,Welch Two Sample t-test,two.sided,1.78E-06,-1.355358499
2691,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Sauce 2,100,Welch Two Sample t-test,two.sided,2.26E-06,-1.201709317
2692,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Sauce 2,1000,Welch Two Sample t-test,two.sided,1.39E-05,-2.189779168
2693,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Triglyceride,10,Welch Two Sample t-test,two.sided,0.000448405,-0.224954996
2694,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Triglyceride,100,Welch Two Sample t-test,two.sided,0.004053228,0.136955157
2695,P09493-5,Isoform 5 of Tropomyosin alpha-1 chain [OS=Homo sapiens],Triglyceride,1000,Welch Two Sample t-test,two.sided,4.57E-06,-1.150567147
2696,P03952,Plasma kallikrein [OS=Homo sapiens],PE,10,Welch Two Sample t-test,two.sided,0.435581938,-0.042092865
2697,P03952,Plasma kallikrein [OS=Homo sapiens],PE,100,Welch Two Sample t-test,two.sided,0.005985583,0.37507651
2698,P03952,Plasma kallikrein [OS=Homo sapiens],PE,1000,Welch Two Sample t-test,two.sided,0.021232866,0.297946443
2699,P03952,Plasma kallikrein [OS=Homo sapiens],B-complex,10,Welch Two Sample t-test,two.sided,0.102808329,-0.113771406
2700,P03952,Plasma kallikrein [OS=Homo sapiens],B-complex,100,Welch Two Sample t-test,two.sided,0.92446671,-0.008049676
2701,P03952,Plasma kallikrein [OS=Homo sapiens],B-complex,1000,Welch Two Sample t-test,two.sided,0.02290821,0.189564161
2702,P03952,Plasma kallikrein [OS=Homo sapiens],PtdChos,10,Welch Two Sample t-test,two.sided,0.011560721,0.237043457
2703,P03952,Plasma kallikrein [OS=Homo sapiens],PtdChos,1000,Welch Two Sample t-test,two.sided,0.000463036,0.64924505
2704,P03952,Plasma kallikrein [OS=Homo sapiens],Diglycerol,10,Welch Two Sample t-test,two.sided,0.822801778,-0.013970202
2705,P03952,Plasma kallikrein [OS=Homo sapiens],Diglycerol,100,Welch Two Sample t-test,two.sided,4.38E-05,0.87429657
2706,P03952,Plasma kallikrein [OS=Homo sapiens],Diglycerol,1000,Welch Two Sample t-test,two.sided,0.024368942,0.482555137
2707,P03952,Plasma kallikrein [OS=Homo sapiens],Glucose,10,Welch Two Sample t-test,two.sided,0.035231612,0.194165764
2708,P03952,Plasma kallikrein [OS=Homo sapiens],Glucose,100,Welch Two Sample t-test,two.sided,0.08716089,0.130654748
2709,P03952,Plasma kallikrein [OS=Homo sapiens],Glucose,1000,Welch Two Sample t-test,two.sided,0.000499935,0.490991362
